company_name,booth,description,email,mobile_primary,domain,full_address,city,linkedin_url
ARREDOPARK SRL,Hall A; Stand D12-E15,,commerciale@arredopark.it,+39045513273 int 1,https://arredopark.it,"Via Mantovana, 185/B 37137 Verona VR - IT",,
ARTISPORT SRL,Hall A; Stand D2-E3,,artisport@artisport.it,+390438 524180,https://artisport.it,"Via Fornaci, 59 3102 Revine Lago TV - IT",,
ASB SYSTEMBAU HORST BABINSKY GMBH,Hall B; Stand E2,"ASB LumiFlex: Pavimento sportivo LED integrale per esperienze immersive, contenuti dinamici e sport professionistico. ASB MultiSports: Pavimento sportivo intelligente con linee LED personalizzabili per sport ed eventi.",fial@asbglassfloor.com,+49(0)8621 987410,,"Fabrikstraße, 14 83371 Stein - DE",,
ASSA ABLOY Entrance Systems Italy Srl,Hall B; Stand A8-B9,"Speedgate ASSA ABLOY SG Expression: Il nostro speedgate rivoluzionario con design elegante e tecnologia all'avanguardia è stato meticolosamente progettato per superare i confini dell'estetica e della funzionalità. SG Expression offre la massima sicurezza e si integra perfettamente con l'ambiente circostante, offrendo una perfetta fusione di forma e funzione. Lasciati conquistare dalle linee morbide, dalle curve eleganti e dalla progettazione minimalista che si integra perfettamente con qualsiasi stile architettonico. Porte automatiche scorrevoli ASSA ABLOY Frame: La porta automatica scorrevole con telaio ASSA ABLOY Frame è una soluzione robusta e resiliente, perfetta per gli ingressi esterni. I robusti profili in alluminio del telaio sono ideali per gli ingressi molto trafficati in cui i danni da impatto sono un fattore importante, come ad esempio nel settore retail, con un elevato flusso di carrelli spesa, nonché negli aeroporti e negli ingressi ospedalieri in cui barelle e sedie a rotelle vengono utilizzati regolarmente. Il telaio robusto resiste anche a forti venti. Quando lo spazio laterale è limitato, la scelta naturale è una disposizione telescopica. È ideale per passaggi stretti, in quanto massimizza la larghezza di apertura. Il sistema offre una funzione antipanico opzionale, che consente l'uscita attraverso l'intera apertura della porta e l'anta laterale in caso di emergenza. Le porte automatiche ASSA ABLOY possono ridurre la quantità d'energia richiesta per riscaldare o raffreddare un edificio, riducendo i costi e l’impatto ambientale. Può essere dotato di vetro termico opzionale da 22 e 40 mm, spazzole aderenti e sensori aggiuntivi per la regolazione dei tempi di apertura e chiusura, migliorando ulteriormente le sue capacità di risparmio energetico, garantendo al contempo un elevato livello di sicurezza in ingresso. Porte a battente con telaio robusto ASSA ABLOY: I sistemi di porte automatiche a battente ASSA ABLOY Frame sono costruiti utilizzando un profilo robusto e stabile. Grazie alla protezione antischiacciamento delle dita integrata, le porte automatiche a battente rendono il passaggio pedonale più facile, sicuro ed efficiente dal punto di vista energetico. Le prestazioni di qualsiasi sistema di porte automatiche a battente ASSA ABLOY frame possono essere personalizzate includendo qualsiasi automatismo ASSA ABLOY montato in superficie o sulla testa. L'automazione dei sistemi di porte a battente è un modo efficiente ed economico per garantire che una struttura sia facilmente accessibile a tutti i visitatori, dipendenti, ospiti e pazienti. Con una gamma di opzioni disponibili per progettisti e clienti finali, non è mai stato così facile garantire che l'accessibilità soddisfi gli standard richiesti dalla norma EN:16005. Sono disponibili versioni a portello singolo e doppio. Tutti i modelli sono progettati per interfacciarsi con funzioni di sicurezza, opzioni di controllo degli accessi e meccanismi di chiusura elettronici a scelta. Tornello a tutta altezza ASSA ABLOY FT200: E se esistesse un modo per aumentare la sicurezza della vostra struttura e allo stesso tempo semplificare la vita del vostro personale? Il nostro tornello a tutta altezza fa entrambe le cose e molto altro ancora. Dai diversi sistemi di azionamento al solido alloggiamento in acciaio inox, ogni componente di questo tornello è realizzato su misura per garantire la sicurezza di qualsiasi area recintata. Dai parcheggi ai centri sportivi, dai magazzini alle basi militari, la scelta è tua. Tornello a tutta altezza ASSA ABLOY FT300: Ti stai aspettando l'arrivo di una folla? Non preoccuparti, il nostro varco a doppio tornello è in grado di sopportare anche i più elevati volumi di traffico, anche se arriva da entrambi i lati contemporaneamente. Le sue robuste porte girevoli a tutta altezza sono in grado di mantenere il tuo spazio sicuro, senza rallentare il movimento delle persone. Inoltre, è dotato di diverse tipologie di azionamento e di opzioni personalizzabili, come le tettoie. Questo tornello attirerà gli assembramenti e li gestirà. Tripode ASSA ABLOY TS200: Non si tratta più solo di prestazioni. Sappiamo che vuoi che il tuo edificio appaia elegante e naturale, ecco perché abbiamo creato questo tornello elegantemente curvo ma dal design minimalista. Senza tempo, sia in termini di forma che di funzionalità, migliora l'atmosfera della struttura, gestisce alti flussi di traffico e allo stesso tempo protegge l'intero ambiente. Scegli questo tripode per un look senza giunzioni, proprio come i bracci in acciaio inox che salgono e si abbassano dopo ogni visitatore.",paolo.bordogna@assaabloy.com,+3902 9215681,https://assaabloy.com,"Via Guido Rossa, 5 20061 Carugate MI - IT",,
Associazione Italiana Piscine e Wellness,Hall B; Stand E4,,info@assopiscine.it,,https://assopiscine.it,,,
Associazione Nazionale Produttori Illuminazione,Hall B; Stand A16,,viale@assil.it,+3902 97373352,,"Via P.A. Saccardo, 9 20134 Milano MI - IT",,
Associazioni Sportive Sociali Italiane,Hall B; Stand C30-D33,,andrea.ruggeri@asinazionale.it,+39066 9920228,,"Via della Ferratella in Laterano, 33 00184 Roma RM - IT",,
AXEVERAR SRL,Hall A; Stand E8,"Redazione del Piano Economico – Finanziario: Realizziamo il Piano Economico – Finanziario necessario alla redazione del progetto di fattibilità tecnica ed economica da porre a base dell’affidamento di contratti pubblici di lavori del PNRR e PNC. Emissione della lettera di Asseverazione: Emissione della lettera di Asseverazione del Piano economico – finanziario (PEF) che attesta l’equilibrio economico – finanziario del PEF e quindi la capacità del progetto di generare adeguati flussi di cassa tali da garantire il rimborso del debito e la remunerazione del capitale di rischio e quindi la possibilità di realizzare l’opera pubblica con il ricorso anche al capitale privato. Emissione della lettera di Asseverazione (Enti Pubblici di rilevanza economica): Emissione della lettera di Asseverazione del PEF allegato alla Relazione predisposta dagli Enti Pubblici di rilevanza economica ai fini della scelta della modalità di gestione del servizio pubblico locale. Stesura del Public Sector Comparator Model – PSC: Supportiamo la Pubblica Amministrazione a scegliere tra le diverse modalità di realizzazione di un’opera e a dimostrare il valore delle scelte effettuate mediate la stesura del Public Sector Comparator (PSC). Supporto ai soggetti promotori nella fase di presentazione delle proposte di PPP: Supporto ai soggetti promotori nella fase di presentazione delle proposte di PPP (predisposizione PEF, bozza di convenzione, matrice dei rischi). Supporto al RUP: Affianchiamo il RUP per la valutazione economica e finanziaria di proposte di PPP – Finanza di progetto.",segreteria@examinar.it,+39045 4642670,,"Via Caserma Ospital Vecchio, 13 37122 Verona VR - IT",,
"Beijing Worldboson International Business Exhibition Co.,Ltd.",Hall B; Stand A20,,project12@worldboson.com,+86153 21800771,https://worldboson.com,"Floor 13, Building 11, Yard 1, Tianxing Street 102488 Beijing - CN",,
BERTELÈ SRL,Hall A; Stand C28-D31,,giulio@bertele.it,+39031699053,https://bertele.it,"Via degli Artigiani, 23 22040 Lurago d'Erba CO - IT",,
BETTINI S.R.L.,Hall A; Stand B9,,stefano.rottigni@bettinivideo.com,+3902 89651000,https://bettinivideo.com,"Via Marco Ulpio Traiano, 16 20149 Milano MI - IT",,
Big Ape,Hall B; Stand C22-D23,,segreteria@movecitysport.com,+39049 5971920,,"Via Del Macello, 30 35013 Cittadella PD - IT",,
BOYTEM BOYA VE KIMYA SANAYI TICARET LIMITED SIRKETI,Hall A; Stand E22,,serhan@unicaboya.com,+90216 3040305,https://unicaboya.com,Gumusova OSB. 1 SK NO: 4 81852 Duzce - TR,,
"Brillance Exhibition Co., Ltd",Hall B; Stand E23,,cindy.liu@bri-expo.com,+86131 22275358,,"015,2nd Floor, No. 8, Zhoujiazhuang Road 100023 Beijing - CN",,
Bureau Veritas Italia SpA,Hall A; Stand D34,"ISO 20121 Eventi: La certificazione ISO 20121 è uno standard di gestione per l'organizzazione sostenibile di eventi. Permette di stabilire, implementare o migliorare un sistema di gestione sostenibile per tutti i tipi di eventi e soggetti coinvolti nel processo. Riduce i rischi e l'impatto economico, ambientale e sociale dell'evento, migliora l'efficacia della generale gestione sostenibile dell'azienda, consente di distinguersi rispetto ai competitors e valorizza l'immagine rafforzando la reputazione con le parti interessate. Verifica Progetti: La verifica del progetto è una fase fondamentale del processo di realizzazione delle Opere Pubbliche. Accerta la conformità del progetto alle specifiche disposizioni funzionali, prestazionali, normative e tecniche contenute negli elaborati progettuali. Bureau Veritas Italia è accreditato UNI CEI EN ISO/IEC 17020 da Accredia come Organismo di Ispezione di tipo A. La verifica si articola in quattro fasi: pianificazione, esame del progetto, contraddittorio e riesame del progetto, concludendosi con l'emissione del Rapporto Conclusivo di Verifica. Parità di Genere: La certificazione secondo la Prassi di Riferimento UNI/PdR 125:2022 definisce le linee guida sul sistema di gestione per la parità di genere che prevede l'adozione di specifici KPI inerenti le Politiche di parità di genere nelle organizzazioni. Prevede la misura, la rendicontazione e la valutazione dei dati relativi al genere con l'obiettivo di colmare i gap attualmente esistenti. Rafforza l'immagine e reputazione aziendale, consente di accedere a sgravi fiscali e premialità nella partecipazione a bandi italiani ed europei. Doping Free: La certificazione Play Sure Doping Free garantisce la formulazione di alimenti e prodotti nutraceutici, integratori alimentari e alimenti funzionali attraverso una corretta informazione a tutti i consumatori che vogliono evitare sostanze proibite. Valorizza le imprese che si impegnano a garantire per i propri consumatori l'impegno contro le sostanze definite dopanti attraverso un insieme di azioni che consentano il controllo dei processi. Per i consumatori è sinonimo di garanzia di quanto dichiarato in etichetta. CAM Cantiere: Il DM 11.10.2017 prescrive l'obbligatorietà di affidarsi ad un Organismo accreditato per la verifica dell'applicazione dei Criteri Ambientali Minimi definiti a livello progettuale nella fase di costruzione. L'attività ispettiva condotta secondo la norma UNI CEI EN ISO/IEC 17020:2012 accerta, durante l'esecuzione delle opere, il rispetto delle specifiche tecniche di edificio, dei componenti edilizi e di cantiere definite nel progetto. Bureau Veritas Italia è accreditato da Accredia come Organismo di Ispezione di tipo A. DNSH Esecuzione: La verifica di conformità delle attività di cantiere al principio del ""Do No Significant Harm"" (DNSH) per gli interventi edili previsti dal Piano Nazionale per la Ripresa e Resilienza (PNRR) secondo il Regolamento UE 241/2021. Il servizio si rivolge alle attività di cantiere per interventi di costruzione di nuovi edifici e interventi di ristrutturazione e riqualificazione di edifici residenziali e non residenziali. Bureau Veritas offre il servizio come ente terzo indipendente per la fase di esecuzione lavori. Impianti Elettrici: Le verifiche periodiche e straordinarie sugli impianti elettrici ai sensi del DPR 462/01 garantiscono la sicurezza di impianti e persone. Bureau Veritas Italia opera come Organismo Abilitato dal Ministero dello Sviluppo Economico per verifiche su installazioni di protezione contro scariche atmosferiche, impianti di messa a terra alimentati in AT, MT e BT, impianti in luoghi con pericolo di esplosione. Le verifiche sono condotte secondo le norme CEI applicabili con periodicità biennale per ambienti a maggior rischio e quinquennale per ambienti ordinari. Gestione Impianti: La certificazione delle competenze per Esperto in Gestione di Impianti Sportivi è rilasciata da CEPAS in conformità alla norma ISO/IEC 17024. Il professionista certificato possiede competenze in ogni ambito della gestione di un'infrastruttura sportiva: aspetti infrastrutturali, amministrativi, economico-finanziari, servizi, organizzazione del personale e aspetti manageriali. Si occupa della manutenzione ordinaria e straordinaria, garantendo sicurezza e comfort. La certificazione ha validità quinquennale con sorveglianze annuali e valorizza le attività professionali con massima garanzia di competenza. Sustainability Manager: La certificazione Sport Sustainability Manager è rilasciata da CEPAS in conformità alla norma ISO/IEC 17024 per professionisti con elevate conoscenze nella gestione della sostenibilità in ambito sportivo e della responsabilità sociale d'impresa. Il professionista certificato sviluppa, implementa, monitora e aggiorna il piano strategico di sostenibilità dell'organizzazione sportiva, massimizzando i benefici materiali e immateriali. Assicura processi decisionali eticamente orientati e sviluppa un business model sostenibile con impatti socio-ambientali positivi. La certificazione ha validità quinquennale con sorveglianze annuali.",ludovica.scafaro@bureauveritas.com,+3902270911,https://bureauveritas.com,"Viale Monza, 347 20126 Milano MI - IT",,
Business Engineering Network s.r.l.,Hall A; Stand B19,,info@benprogetti.it,+3902 48517480,,"Via Cassiodoro, 10 20145 Milano MI - IT",,
California Sports Surfaces,Hall A; Stand A10,"Plexipave®: Plexipave® è uno dei sistemi acrilici per superfici sportive più riconosciuti al mondo, apprezzato per la sua durata, uniformità e prestazioni elevate. Progettato per tennis, pickleball, basket e applicazioni multisport, garantisce una risposta della palla prevedibile e movimenti fluidi per gli atleti a tutti i livelli. Disponibile in versione ammortizzate e non, Plexipave si adatta alle esigenze di club, enti pubblici e impianti di alto livello, offrendo un equilibrio tra prestazioni, comfort e durabilità nel tempo. Grazie a una rete globale di installatori certificati, Plexipave rappresenta una soluzione affidabile e di valore per i gestori di impianti sportivi. Plexipave® Color Card DecoTurf®: DecoTurf® è una superficie sportiva acrilica premium, riconosciuta a livello globale per la sua giocabilità costante e la presenza in eventi professionali di alto livello. Progettata per precisione e affidabilità, offre una superficie uniforme e veloce che valorizza le prestazioni degli atleti. I suoi sistemi avanzati garantiscono durata anche in condizioni di utilizzo intenso e ambienti impegnativi, rendendola ideale per impianti di livello professionale, club e strutture istituzionali. DecoTurf unisce prestazioni elevate e finitura professionale, rispondendo alle esigenze di impianti che richiedono qualità e affidabilità. DecoTurf® Color Card Rebound Ace®: Rebound Ace® è un sistema di superficie sportiva ammortizzata progettato per offrire comfort superiore, assorbimento degli urti e maggiore sicurezza per il giocatore. Grazie alla tecnologia con materassini in gomma, riduce lo stress sulle articolazioni mantenendo elevate prestazioni di gioco. Ideale per tennis e superfici multisport, offre un equilibrio tra resilienza e ritorno di energia, favorendo sessioni di gioco più lunghe e una migliore resistenza dell’atleta. Adatto sia per applicazioni indoor che outdoor, è la scelta ideale per impianti che mettono al primo posto il benessere degli utenti. CoolTop®: CoolTop® è una tecnologia innovativa di rivestimento progettata per ridurre la temperatura superficiale fino al 33% (rispetto a colori analoghi nelle formulazioni standard) e migliorare il comfort di gioco in ambienti ad alte temperature. Grazie all’utilizzo di pigmenti a riflettanza solare, CoolTop contribuisce a mantenere le superfici di gioco più fresche sotto l’esposizione diretta al sole, aumentando la fruibilità e prolungando i tempi di utilizzo. Progettato per essere compatibile con sistemi cushioned e hardcourt esistenti, CoolTop garantisce performance termiche elevate senza compromettere velocità di gioco, durata o brillantezza dei colori. Ideale per club, scuole e strutture pubbliche, CoolTop favorisce ambienti più sostenibili e confortevoli per gli utenti, rispondendo alla crescente domanda di soluzioni performanti in climi sempre più caldi. Scarica la brochure CoolTop® Color Card Plexitrac®: Plexitrac® è un sistema avanzato per piste di atletica progettato per offrire prestazioni elevate, resilienza e sicurezza per gli atleti. Garantisce trazione ottimale e assorbimento degli urti, migliorando comfort e velocità di corsa. La sua struttura resistente assicura alte prestazioni anche in condizioni di utilizzo intensivo e ambienti variabili. Ideale per scuole, centri di allenamento e impianti sportivi, Plexitrac rappresenta una soluzione affidabile e di alta qualità per le piste moderne. Plexitrac® brochure",daniele.doerge@icpgroup.com,+1978 6239980,,"150 Dascomb Rd 01810 Andover, MA - US",,
